assign_school
鵜住居小学校
山口小学校
新里小学校
小川小学校
岩泉小学校
小本小学校
大川小学校
田老第一小学校
崎山小学校
鍬ヶ崎小学生
宮古小学校
磯鶏小学校
高浜小学校
重茂小学校
赤前小学校
津軽石小学校
豊間根小学校
山田小学校
船越小学校
大槌小学校
